emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.0122457,0.348984,0.189796,1.53667,0.0755708,0.000457,0.070194,0.000221,0.009
0.290167,0.172007,0.102034,0.767418,0.038408,0.000943,0.799908,0.002132,0.014
0.56083333,0.120426,0.145878,0.957674,0.044003,0.001741,222.522,0.004755,0.016
0.011712767,0.094348,0.057054,0.374412,0.035315,0.000168,0.056036,0.001981,0.008
0.522309,0.135992,0.596524,0.672899,0.0449641,0.00296,0.053822,0.00693,0.012
0.282254,0.227855,0.050802,0.230148,0.0461581,0.00149,0.571918,0.005126,0.011
0.0032759968,0.102485,0.0293572,0.11544,0.028419,0.000277,0.036134,0.005329,0.006
0.5009137,0.211988,0.0542119,0.412075,0.036402,0.000797,0.003602,0.00123,0.009
0.28883535,0.087461,0.208174,0.645093,0.045433,0.002502,0.634837,0.01051,0.009
0.011034937,0.10449,1.15056,1.54324,0.0366142,0.003632,34.2018,0.005865,0.015
1.000325,0.114519,0.367926,1.04609,0.052763,0.001895,0.192321,0.005942,0.013
0.27336767,0.0376329,0.0484412,0.268606,0.0738649,0.000224,0.004221,0.001759,0.009
0.010953833,0.0872979,0.119537,0.255552,0.055594,0.00182,65.3399,0.007148,0.012
0.009748613,0.0711062,0.0289938,0.296569,0.041029,0.000133,0.212221,0.004383,0.005
0.0202272,0.126015,0.052855,0.162719,0.17477,0.001291,1323.66,0.009392,0.01
1.5304667,0.0470018,0.0383348,0.111643,0.0293849,0.000268,0.006508,0.004711,0.009
0.543235,0.30228,0.108913,0.643031,0.0503662,0.000631,0.034886,0.001193,0.009
0.7862113,0.109298,0.071996,0.23689,0.0254152,0.000395,0.158015,0.0005,0.009
0.27827433,0.103064,0.0590022,0.294459,0.0301101,0.000248999,71.9707,0.000933,0.005
0.27944133,0.269518,0.02615,0.158394,0.0484459,0.000368,0.011074,0.001296,0.009
0.28060633,0.127576,0.0788929,0.0640931,0.086122,0.00245,10.4106,0.011887,0.013
0.0155302,0.0785811,0.055444,0.067977,0.036911,0.000826,0.792237,0.002905,0.007
0.27709168,0.0959349,0.0715261,0.261244,0.0900159,0.002273,0.005136,0.008343,0.015
0.016960133,0.070858,0.0340099,0.264445,0.0394831,0.001604,0.018114,0.005193,0.013
0.0156911,0.0133991,0.0299981,0.0110919,0.039083,0.00032,0.044339,0.000821,0.006
0.27510566,0.00672412,0.0479081,0.070962,0.0291049,0.000458,0.054671,0.000498,0.009
0.017673733,0.06287,0.694674,0.377996,0.051228,0.006279,0.020674,0.020955,0.022
0.00384066,0.0349061,0.023066,0.0620701,0.0378699,0.000196,0.023666,0.000806,0.005
0.0233257,0.0894642,0.0546548,0.114918,0.042959,0.000371,0.001331,0.001063,0.009
0.008444224,0.0129032,0.042769,0.195399,0.0266049,0.000343,0.068198,0.000818,0.008
0.384425,0.083508,0.384186,0.135001,0.0370479,0.000253,0.138322,0.000562,0.008
0.58182865,0.161009,0.414226,0.410826,0.039902,0.000775,0.020524,0.004087,0.006
0.508679,0.041362,0.0465021,0.0195458,0.027487,0.000451,0.011536,0.001188,0.008
0.30503935,0.0692189,0.03474,0.260287,0.0312531,0.000435,0.509806,0.003195,0.006
0.0069436166,0.0107272,0.0124872,0.0378041,0.0567191,0.001568,0.009095,0.004861,0.006
0.012273126,0.00956297,0.045306,0.0458419,0.0385849,0.002465,3208.75,0.007105,0.017
0.330463,0.221072,0.034595,0.0287189,0.026998,0.000353,0.015879,0.001228,0.006
0.0042908136,0.0803211,0.0237341,0.048703,0.0329211,0.000229,0.011613,0.009697,0.024
0.79104865,0.041501,0.0737851,0.0981271,0.030232,0.000706,15.113,0.000863,0.009
0.27991065,0.0196979,0.035006,0.175716,0.031184,0.000371,0.020611,0.001776,0.006
0.00622951,0.0597579,0.042052,0.09483,0.120133,0.000441,0.000738,0.014887,0.009
0.275945,0.017386,0.0173349,0.00404382,0.050982,0.000468,0.011014,0.006571,0.007
0.15918599,0.047513,0.038094,0.160488,0.0316081,0.000627,0.012496,0.00256,0.006
0.14583166,0.00835586,0.0203211,0.0778332,0.0516801,0.000691,0.008293,0.001878,0.008
0.015982067,0.0677528,0.0332899,0.221008,0.135433,0.002846,0.832234,0.020613,0.017
0.519602,0.0436819,0.0567369,0.0137031,0.0343161,0.00021,10.8199,0.000813,0.008
0.00385603,0.013484,0.013859,0.00552487,0.093281,0.000131,0.009596,0.000954,0.007
0.014342099,0.127804,0.035301,0.135685,0.035759,0.002276,0.001791,0.006075,0.018
0.0154599,0.0295601,0.0303781,0.060694,0.0302072,0.000711,0.310851,0.004235,0.011
0.00515535,0.0202129,0.031173,0.0048182,0.054389,0.000317,0.141593,0.007398,0.004
