emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.0038051698,0.120677,0.132457,23.3371,0.391693,0.000412,0.024193,0.001477,0.007
0.0073089865,0.062598,0.0888672,0.387126,0.0697601,0.011173,0.057845,0.000031,0.007
0.00492983,0.0285242,0.330014,0.087395,0.0630322,0.000672,0.019214,0.002493,0.009
0.5038807,0.0456369,1.13029,1.09177,0.168584,0.000949,0.019419,0.01642,0.014
0.00231828,0.0326822,0.230114,0.2597,0.035466,0.000163,0.005506,0.000524,0.007
0.0028335566,0.127446,0.155574,0.45828,0.030653,0.000413,0.004502,0.000706,0.005
0.0034489434,0.0106659,0.098671,0.267399,0.100307,0.000109,0.012152,0.001276,0.007
0.0046262736,0.054245,0.0577648,0.227674,0.0291791,0.000325,0.025664,0.003321,0.009
0.0111739505,0.0738301,1.37061,0.757841,0.125448,0.001679,0.004228,0.007971,0.011
0.0030506765,0.0428979,0.0598519,0.277695,0.0277681,0.000294,0.000679,0.001242,0.008
0.009015786,0.018784,0.0200899,0.152613,0.0978329,0.000198,0.023475,0.006714,0.009
0.007755527,0.033792,0.0235839,0.162737,0.026799,0.000303,0.30921,0.001809,0.006
0.00330914,0.066,0.108535,1.60712,0.0462601,0.000648,0.000945,0.004046,0.012
0.0027007367,0.00516391,0.030174,0.0806432,0.0231659,0.000114,0.001938,0.000288,0.008
0.22197066,0.013808,0.157023,0.266529,0.0164251,0.000697,0.04578,0.001804,0.006
0.0033347467,0.0725522,0.0570712,0.477439,0.048064,0.000622,0.002562,0.002084,0.008
0.0069247503,0.0190492,0.178805,0.0176001,0.026489,0.000966,0.015785,0.003634,0.009
0.50653535,0.0187478,1.74528,0.0575039,0.014966,0.000657,0.03789,0.000586,0.005
0.0056752735,0.0344062,0.0202088,0.121747,0.0459931,0.000216,0.003341,0.00185,0.006
0.0113356,0.040616,0.123656,0.244387,0.0359421,0.001806,0.22151,0.003506,0.009
0.0028726067,0.0540662,0.165605,0.0110841,0.153716,0.001087,0.004165,0.004191,0.008
0.0025374966,0.0940201,0.087028,0.958221,0.316103,0.001028,0.007231,0.007869,0.011
0.00164166,0.0334339,0.611179,0.189355,0.0192969,0.001848,0.000574,0.006058,0.01
0.0067162965,0.00936294,0.211756,0.015888,0.035296,0.000382,0.068828,0.000696,0.006
0.00300283,0.030798,0.026298,0.037482,0.0315871,0.001117,0.152096,0.000085,0.008
0.010389687,0.0378349,0.070698,0.0716772,0.073323,0.01275,0.003224,0.002836,0.009
0.49603033,0.018445,0.186385,0.0128419,0.020921,0.00113,0.031542,0.004188,0.01
0.015232666,0.016902,0.037986,0.088062,0.164065,0.000144,0.006084,0.01252,0.011
0.0016134033,0.03233,0.305277,0.058814,0.0312319,0.018704,0.007897,0.001551,0.009
0.15065733,0.00927496,0.0303981,0.0314341,0.0949399,0.000992,0.037241,0.004045,0.012
0.15276633,0.0294881,0.025126,0.039335,0.06513,0.014935,0.016715,0.001779,0.009
0.13427134,0.0309219,1.55565,0.0847199,0.0183899,0.001414,0.004828,0.001192,0.009
0.0025172732,0.0187562,0.021229,0.0216711,0.024477,0.00012,0.010996,0.001147,0.008
0.0015875967,0.0205171,0.0810142,0.0714011,0.078285,0.000267,0.001757,0.0017,0.007
0.013903334,0.031013,0.038631,0.060504,0.041332,0.000245,0.018859,0.000545,0.008
0.5115697,0.0353899,0.0360348,0.144815,0.1982,0.000458,0.006129,0.046769,0.021
0.004137757,0.0130761,0.154845,0.20463,0.0543239,0.000834,0.157558,0.001703,0.009
0.26834,0.0111389,0.019264,0.02841,0.0452192,0.000829,0.027485,0.004399,0.008
0.0014085666,0.00425196,0.0128729,0.0219922,0.033112,0.000173,0.001108,0.000481,0.008
0.005139103,0.00793409,0.0318751,0.00285005,0.029356,0.00034,0.007854,0.000759,0.009
0.00168298,0.039289,0.0249932,0.019783,0.0371211,0.000597,0.023958,0.001506,0.01
0.51724166,0.00684905,0.037354,0.0064261,0.0356989,0.000867,0.02041,0.003118,0.008
0.005299603,0.00585413,0.0398638,0.179504,0.162287,0.000255,0.003734,0.000219,0.007
0.0024058067,0.0554309,0.233819,0.0685241,0.024477,0.021947,0.001145,0.009885,0.015
0.00548598,0.0412312,0.0346029,0.0884471,0.081295,0.001588,0.015126,0.013611,0.007
0.012273867,0.00420022,0.012146,0.010397,0.027492,0.000069,0.173693,0.000063,0.008
0.00839713,0.00583196,0.025717,0.0127621,0.0225611,0.000558,0.066566,0.001352,0.006
0.0036466466,0.00542784,0.016412,0.0633719,0.0970309,0.000159,0.008782,0.001306,0.007
0.271146,0.026679,0.0111768,0.0219669,0.081085,0.013029,0.039004,0.000027,0.005
0.013643267,0.00516105,0.024122,0.017745,0.022095,0.000158,0.007504,0.000158,0.008
